"id";"url"
"265";"http://www.bazar.at/wohnung-zu-vermieten-anzeigen-10622339.html"
"268";"http://www.bazar.at/wohnen-am-marchfeldkanal-naturschutzgebiet-wien-floridsdorf-anzeigen-10622602.html"
"278";"http://www.bazar.at/privat-schoene-sympathische-2-zimmer-wohnung-direkt-am-reumannplatz-anzeigen-10623108.html"
"279";"http://www.bazar.at/privat-sonnige-3-zimmer-wohnung-88-m2-naehe-obkircherpatz-anzeigen-10623222.html"
"221";"http://www.bazar.at/65m2-wohnung-2bz-anzeigen-10618885.html"
"251";"http://www.bazar.at/neue-2-zimmer-mietwohnung-anzeigen-10621360.html"
"256";"http://www.bazar.at/helle-2-zimmer-wohnung-wg-geeignet5bezirk-anzeigen-10621465.html"
"266";"http://www.bazar.at/ohne-provision-3-zimmer-bei-u4u6laengenfeldgasse-anzeigen-10622343.html"
"276";"http://www.bazar.at/charming-design-furnished-apartment-italian-anzeigen-10622813.html"
"285";"http://www.bazar.at/provisionsfrei_150m2__neu_-_renoviert-anzeigen-10623405.html"
"287";"http://www.bazar.at/elegante-2-zimmer-wohnung-in-toplage-anzeigen-10623480.html"
"299";"http://www.bazar.at/topsanierte-dachgeschosswohnung-u6-burggasse-provisionsfrei-anzeigen-10623921.html"
"303";"http://www.bazar.at/vorzimmer-anzeigen-10624206.html"
"313";"http://www.bazar.at/helle-2-zimmerwohnung-55m2-lorystrasse-anzeigen-10625716.html"
"226";"http://www.bazar.at/beautiful-apartment-with-modern-decoration-anzeigen-10617202.html"
"227";"http://www.bazar.at/super-single-hitprovisionsfrei38me-540-inklwarmwheizgbkustmoebliert-anzeigen-10615056.html"
"228";"http://www.bazar.at/mitwohnung-anzeigen-10619367.html"
"229";"http://www.bazar.at/unmittelbare-naehe-zum-krankenhaus-hietzing-und-neu-saniert-anzeigen-10613045.html"
"230";"http://www.bazar.at/1-12-zimmer-untermiete-von-privat-anzeigen-10617888.html"
"231";"http://www.bazar.at/fuer-singles-neubau-apartment-mit-loggia-in-sehr-guter-lage-anzeigen-10617664.html"
